[2026-06-10T08:09:32.003Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:09:32.003Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
[2026-06-10T08:10:01.211Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → pending (?ms, ?B)
[2026-06-10T08:10:02.061Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:10:02.061Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
[2026-06-10T08:10:31.205Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → pending (?ms, ?B)
[2026-06-10T08:10:32.170Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:10:32.170Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
[2026-06-10T08:11:01.209Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → pending (?ms, ?B)
[2026-06-10T08:11:02.002Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:11:02.002Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
[2026-06-10T08:11:31.266Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → pending (?ms, ?B)
[2026-06-10T08:11:32.094Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:11:32.094Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
[2026-06-10T08:12:01.243Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → pending (?ms, ?B)
[2026-06-10T08:12:02.159Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:12:02.159Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
[2026-06-10T08:12:31.209Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → pending (?ms, ?B)
[2026-06-10T08:12:32.097Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:12:32.097Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
[2026-06-10T08:13:01.205Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → 200 (779ms, 1088616B)
[2026-06-10T08:13:01.996Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:13:01.996Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
[2026-06-10T08:13:31.196Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → 200 (753ms, 1098397B)
[2026-06-10T08:13:31.961Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:13:31.961Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
[2026-06-10T08:14:01.197Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → 200 (829ms, 1097402B)
[2026-06-10T08:14:02.040Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:14:02.040Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
[2026-06-10T08:14:31.195Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → 200 (788ms, 1097147B)
[2026-06-10T08:14:31.996Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:14:31.997Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
[2026-06-10T08:15:01.196Z] GET http://localhost:8765/proxy?url=https%3A%2F%2Fwww.youtube.com%2F%40swaminarayan%2Fstreams → 200 (815ms, 1091263B)
[2026-06-10T08:15:02.022Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Live+Stream → pending (?ms, ?B)
[2026-06-10T08:15:02.022Z] GET https://placehold.co/280x157.5/1a1a2e/888?text=No+Upcoming+Event → pending (?ms, ?B)
[2026-06-10T08:15:13.930Z] GET http://localhost:8765/index.html → 200 (4ms, -188B)
[2026-06-10T08:15:13.974Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, -768B)
[2026-06-10T08:15:13.974Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&display=swap → 200 (?ms, -743B)
[2026-06-10T08:15:13.974Z] GET http://localhost:8765/styles.css → 200 (2ms, 10410B)
[2026-06-10T08:15:13.974Z] GET https://placehold.co/300x170?text=No+Video → 200 (1ms, -773B)
[2026-06-10T08:15:13.975Z] GET https://placehold.co/280x157.5/333333/FFFFFF?text=No+Thumbnail → pending (?ms, ?B)
[2026-06-10T08:15:13.975Z] GET http://localhost:8765/core-utils.js → 200 (?ms, -194B)
[2026-06-10T08:15:13.975Z] GET http://localhost:8765/core-obs.js → 404 (3ms, ?B)
[2026-06-10T08:15:13.975Z] GET http://localhost:8765/core-scheduler.js → 404 (70ms, ?B)
[2026-06-10T08:15:13.975Z] GET http://localhost:8765/player-loop.js → 404 (91ms, ?B)
[2026-06-10T08:15:13.975Z] GET http://localhost:8765/player-live.js → 404 (91ms, ?B)
[2026-06-10T08:15:13.975Z] GET http://localhost:8765/player-delay.js → 404 (91ms, ?B)
